enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,1.0,2000,0.9206,2.4916861057281494,401.33466157759403,1000
True,1.0,2500,0.9309,3.1602940559387207,316.42625094358954,1000
True,1.0,3000,0.9379,3.8747401237487793,258.08182434503715,1000
True,1.0,3500,0.9425,4.5267653465271,220.9082917821646,1000
True,1.0,4000,0.9466,5.144000768661499,194.40121511883177,1000
True,1.1,100,0.3976,0.13014698028564453,7683.62045592772,1000
True,1.1,120,0.4428,0.15172672271728516,6590.7968094935795,1000
True,1.1,140,0.4776,0.17144250869750977,5832.859117597159,1000
True,1.1,160,0.5195,0.19330286979675293,5173.228938874232,1000
True,1.1,180,0.548,0.21442246437072754,4663.690453025675,1000
True,1.1,200,0.5791,0.23566627502441406,4243.28852270612,1000
True,1.1,220,0.5973,0.2576789855957031,3880.7976431923494,1000
True,1.1,240,0.617,0.27532243728637695,3632.104996077195,1000
True,1.1,260,0.6346,0.29486799240112305,3391.348080396777,1000
True,1.1,280,0.6501,0.31392717361450195,3185.452181428504,1000
True,1.1,300,0.6625,0.3337728977203369,2996.0491305015553,1000
True,1.1,320,0.677,0.35465097427368164,2819.6736299624745,1000
True,1.1,340,0.6893,0.3712782859802246,2693.3974804367176,1000
True,1.1,360,0.7007,0.392228364944458,2549.535141706557,1000
True,1.1,380,0.7142,0.4125239849090576,2424.10147429477,1000
True,1.1,400,0.7244,0.43125319480895996,2318.8234012805124,1000
True,1.1,500,0.7561,0.529069185256958,1890.1119699767066,1000
True,1.1,600,0.7877,0.6297767162322998,1587.8643560889275,1000
True,1.1,700,0.8103,0.7297649383544922,1370.3042547574926,1000
True,1.1,800,0.8253,0.8217067718505859,1216.9791393441672,1000
True,1.1,900,0.8352,0.9270803928375244,1078.655106639986,1000
True,1.1,1000,0.8481,1.0218021869659424,978.6630061629834,1000
True,1.1,1200,0.8594,1.2239749431610107,817.0101892914752,1000
True,1.1,1400,0.8692,1.421957015991211,703.256138374144,1000
True,1.1,1600,0.8806,1.6163387298583984,618.6821991746782,1000
True,1.1,1800,0.8857,1.8301634788513184,546.3992761060006,1000
True,1.1,2000,0.8931,2.0323524475097656,492.04064050273195,1000
True,1.1,2500,0.9025,2.5473084449768066,392.5712262965096,1000
True,1.1,3000,0.9096,3.067979335784912,325.9474365866809,1000
True,1.1,3500,0.9177,3.5856878757476807,278.88651624243283,1000
True,1.1,4000,0.9216,4.106372117996216,243.52396014415993,1000
